space,held_out,true_label,n,accuracy,mean_own_distance,mean_nearest_wrong_distance,mean_margin_wrong_minus_own,dominant_wrong_neighbor,dominant_prediction
derivative_input,Ag,benzenethiol,25,0.76,0.8571485280990601,1.038612723350525,0.1814642697572708,4np,benzenethiol
siamese_embedding,Ag,benzenethiol,25,0.92,0.29149389266967773,0.8942726254463196,0.6027786731719971,pyridine,benzenethiol
derivative_input,AgNP,4np,25,0.6,1.0815908908843994,1.087052345275879,0.0054613687098026276,benzenethiol,4np
derivative_input,AgNP,pyridine,25,1.0,0.7600440382957458,1.1668691635131836,0.4068250358104706,4np,pyridine
siamese_embedding,AgNP,4np,25,0.0,0.5278096199035645,0.27523431181907654,-0.2525753080844879,benzenethiol,benzenethiol
siamese_embedding,AgNP,pyridine,25,0.76,0.31370165944099426,0.5218797922134399,0.20817813277244568,benzenethiol,pyridine
derivative_input,Au,benzenethiol,25,1.0,0.5632714033126831,1.0199353694915771,0.4566640555858612,4np,benzenethiol
siamese_embedding,Au,benzenethiol,25,0.96,0.16118045151233673,0.7761728763580322,0.6149924397468567,pyridine,benzenethiol
derivative_input,AuNP,pyridine,25,1.0,0.657004714012146,1.0735604763031006,0.41655585169792175,4np,pyridine
siamese_embedding,AuNP,pyridine,25,1.0,0.12345203757286072,1.0053770542144775,0.8819249868392944,benzenethiol,pyridine
derivative_input,PICO,4np,25,1.0,1.0302579402923584,1.2319740056991577,0.2017160952091217,pyridine,4np
derivative_input,PICO,benzenethiol,25,0.96,1.0384656190872192,1.1745691299438477,0.13610337674617767,pyridine,benzenethiol
derivative_input,PICO,pyridine,25,1.0,0.7980684041976929,1.2307140827178955,0.4326455593109131,4np,pyridine
siamese_embedding,PICO,4np,25,1.0,0.10098376125097275,1.1121670007705688,1.011183261871338,benzenethiol,4np
siamese_embedding,PICO,benzenethiol,25,0.84,0.41419175267219543,0.6483410000801086,0.23414930701255798,pyridine,benzenethiol
siamese_embedding,PICO,pyridine,25,1.0,0.06809774041175842,0.9475184082984924,0.8794206976890564,benzenethiol,pyridine
derivative_input,pSERS,4np,25,1.0,0.9003875851631165,1.0832875967025757,0.18290004134178162,benzenethiol,4np
derivative_input,pSERS,benzenethiol,25,1.0,0.6042186617851257,1.2079740762710571,0.6037554740905762,4np,benzenethiol
derivative_input,pSERS,pyridine,25,1.0,0.8236331939697266,1.1553303003311157,0.3316971957683563,4np,pyridine
siamese_embedding,pSERS,4np,25,1.0,0.09400641173124313,0.5650067329406738,0.4710003137588501,benzenethiol,4np
siamese_embedding,pSERS,benzenethiol,25,1.0,0.14846931397914886,0.7511953115463257,0.6027259230613708,4np,benzenethiol
siamese_embedding,pSERS,pyridine,25,1.0,0.26242831349372864,0.7676592469215393,0.5052309632301331,benzenethiol,pyridine
