space,held_out,row_index,true_label,pred_label,correct,distance_to_4np,distance_to_benzenethiol,distance_to_pyridine
derivative_input,Ag,225,benzenethiol,benzenethiol,True,1.0556085109710693,0.9714723229408264,1.3256630897521973
derivative_input,Ag,226,benzenethiol,4np,False,0.9676346778869629,1.1066166162490845,1.1085511445999146
derivative_input,Ag,227,benzenethiol,benzenethiol,True,0.9075586199760437,0.7958697080612183,1.2803488969802856
derivative_input,Ag,228,benzenethiol,benzenethiol,True,1.0974969863891602,0.7069907188415527,1.3817694187164307
derivative_input,Ag,229,benzenethiol,benzenethiol,True,0.9845664501190186,0.9757731556892395,1.2820013761520386
derivative_input,Ag,230,benzenethiol,4np,False,1.0031392574310303,1.086226463317871,1.240491271018982
derivative_input,Ag,231,benzenethiol,benzenethiol,True,1.0451669692993164,0.9034796357154846,1.3014559745788574
derivative_input,Ag,232,benzenethiol,benzenethiol,True,1.0217783451080322,0.8011372089385986,1.2903153896331787
derivative_input,Ag,233,benzenethiol,4np,False,0.9670411944389343,1.0848067998886108,1.174789309501648
derivative_input,Ag,234,benzenethiol,benzenethiol,True,1.0427546501159668,0.5921601057052612,1.284021258354187
derivative_input,Ag,235,benzenethiol,4np,False,0.9803082942962646,1.116860032081604,1.2225360870361328
derivative_input,Ag,236,benzenethiol,benzenethiol,True,1.108681559562683,0.8507660031318665,1.3640377521514893
derivative_input,Ag,237,benzenethiol,benzenethiol,True,1.1251486539840698,0.6100161075592041,1.3237130641937256
derivative_input,Ag,238,benzenethiol,benzenethiol,True,1.1582708358764648,0.5415423512458801,1.3698934316635132
derivative_input,Ag,239,benzenethiol,benzenethiol,True,1.0706506967544556,0.8221332430839539,1.3501917123794556
derivative_input,Ag,240,benzenethiol,benzenethiol,True,1.0535982847213745,0.5438774228096008,1.314253807067871
derivative_input,Ag,241,benzenethiol,benzenethiol,True,1.156083583831787,0.5551979541778564,1.3949682712554932
derivative_input,Ag,242,benzenethiol,benzenethiol,True,1.1384665966033936,0.4758233428001404,1.3493986129760742
derivative_input,Ag,243,benzenethiol,benzenethiol,True,1.0122543573379517,0.8922268748283386,1.2511125802993774
derivative_input,Ag,244,benzenethiol,4np,False,0.9692392945289612,1.091548204421997,1.1778162717819214
derivative_input,Ag,245,benzenethiol,benzenethiol,True,1.0234535932540894,0.9874294400215149,1.2412846088409424
derivative_input,Ag,246,benzenethiol,benzenethiol,True,0.9804707765579224,0.951625406742096,1.2907353639602661
derivative_input,Ag,247,benzenethiol,4np,False,0.9649192094802856,1.143587589263916,1.1843100786209106
derivative_input,Ag,248,benzenethiol,benzenethiol,True,1.0141743421554565,1.0053116083145142,1.2108482122421265
derivative_input,Ag,249,benzenethiol,benzenethiol,True,1.116854190826416,0.8162350058555603,1.364112377166748
siamese_embedding,Ag,225,benzenethiol,benzenethiol,True,0.9127360582351685,0.3254208266735077,1.0038613080978394
siamese_embedding,Ag,226,benzenethiol,4np,False,0.5172495245933533,0.6652641296386719,1.22053861618042
siamese_embedding,Ag,227,benzenethiol,benzenethiol,True,0.7777947187423706,0.4461684823036194,1.1186890602111816
siamese_embedding,Ag,228,benzenethiol,benzenethiol,True,1.100438117980957,0.14965099096298218,0.9421248435974121
siamese_embedding,Ag,229,benzenethiol,benzenethiol,True,1.0006359815597534,0.3106953799724579,0.9677044153213501
siamese_embedding,Ag,230,benzenethiol,benzenethiol,True,0.9404421448707581,0.428974986076355,0.9710946083068848
siamese_embedding,Ag,231,benzenethiol,benzenethiol,True,1.0374810695648193,0.22882293164730072,0.9939390420913696
siamese_embedding,Ag,232,benzenethiol,benzenethiol,True,1.0232124328613281,0.19195353984832764,0.9962050914764404
siamese_embedding,Ag,233,benzenethiol,benzenethiol,True,0.7679449915885925,0.4442466199398041,0.9625290036201477
siamese_embedding,Ag,234,benzenethiol,benzenethiol,True,1.0449779033660889,0.04317573830485344,0.9895390868186951
